Indeks,Komentar,Komentar_bersih,normal_teks,Label,Label_Validator
15673,Ga bisa berhenti main di ♨☂⚧☠‼⏬17.,ga bisa berhenti main di emoji_hot_springs emoji_umbrella emoji_transgender_symbol emoji_skull_and_crossbones emoji_double_exclamation_mark emoji_fast_down_button 17.,ga bisa berhenti main di emoji_hot_springs emoji_umbrella emoji_transgender_symbol emoji_skull_and_crossbones emoji_double_exclamation_mark emoji_fast_down_button 17.,1,1
1101,cemilan pejabat,cemilan pejabat,cemilan pejabat,5,5
68765,minimal ganteng 😅 tandai muka si mata empat ini kalo ketemu di surabaya iket di rel kereta,minimal ganteng emoji_grinning_face_with_sweat tandai muka si mata empat ini kalo ketemu di surabaya iket di rel kereta,minimal ganteng emoji_grinning_face_with_sweat tandai muka si mata empat ini kalo ketemu di surabaya ikat di rel kereta,0,0
88,yang bingung cara main prly tapi gak ada boleh dm pasti aku ajarin sampe bisa dan yang lagi cari info boleh dm juga✨,yang bingung cara main prly tapi gak ada boleh dm pasti aku ajarin sampe bisa dan yang lagi cari info boleh dm juga emoji_sparkles,yang bingung cara main prly tapi gak ada boleh dm pasti aku ajarkan sampai bisa dan yang lagi cari info boleh dm juga emoji_sparkles,1,1
37564,iya itu termasuk latihan dasarnya malah pas baru masuk dilatih split cium lutut,iya itu termasuk latihan dasarnya malah pas baru masuk dilatih split cium lutut,iya itu termasuk latihan dasarnya malah pas baru masuk dilatih split cium lutut,0,0
10809,palanya goyang mulu pengen gua hook rahangnya,palanya goyang mulu pengen gua hook rahangnya,kepalanya goyang mulu ingin gua hook rahangnya,3,3
32223,berarti berpijak di dua kaki,berarti berpijak di dua kaki,berarti berpijak di dua kaki,0,0
6199,pertanyaan lanjutan emang mereka mikir? otaknya keknya nggak pernah kepake deh,pertanyaan lanjutan emang mereka mikir? otaknya keknya nggak pernah kepake deh,pertanyaan lanjutan emang mereka mikir? otaknya kayaknya tidak pernah kepakai deh,3,3
51839,ada kok kalo mata kmu masih sehat mah,ada kok kalo mata kmu masih sehat mah,ada kok kalo mata kamu masih sehat mah,0,0
5758,otomatis yg isinya chinese udah pasti maju konglomerat semua,otomatis yg isinya chinese udah pasti maju konglomerat semua,otomatis yg isinya Cina sudah pasti maju konglomerat semua,4,4
3198,pbb insyaallah sedang berjuang aceh lepas dari kolonial lokal🥰🥰🥰🥰,pbb insyaallah sedang berjuang aceh lepas dari kolonial lokal emoji_smiling_face_with_hearts emoji_smiling_face_with_hearts emoji_smiling_face_with_hearts emoji_smiling_face_with_hearts,pbb insyaallah sedang berjuang aceh lepas dari kolonial lokal emoji_smiling_face_with_hearts emoji_smiling_face_with_hearts emoji_smiling_face_with_hearts emoji_smiling_face_with_hearts,4,4
8118,tete nya gede banget pasti udah pernah,tete nya gede banget pasti udah pernah,tete nya gede banget pasti sudah pernah,5,5
56049,diem ga😭,diem ga emoji_loudly_crying_face,diam ga emoji_loudly_crying_face,0,0
13784,udah kayak profesional ➡ 𝗣𝗟𝗨𝗧𝗢8̳8̳ 💖,udah kayak profesional emoji_right_arrow pluto88 emoji_sparkling_heart,sudah kayak profesional emoji_right_arrow pluto88 emoji_sparkling_heart,1,1
4760,kan masukin ke baju lebih mudah,kan masukin ke baju lebih mudah,kan masukkan ke baju lebih mudah,5,5
54071,belum dihina aja sudah hina,belum dihina aja sudah hina,belum dihina aja sudah hina,0,0
12858,itu cewe bokingan,itu cewe bokingan,itu cewek booking,5,3
10819,aib sendiri ya 😂 luar binasaaaa minimal mandi dah,aib sendiri ya emoji_face_with_tears_of_joy luar binasaaaa minimal mandi dah,aib sendiri ya emoji_face_with_tears_of_joy luar binasaa minimal mandi dah,3,3
8028,enak bnget tuh crot di semak2,enak bnget tuh crot di semak2,enak banget tuh crot di semak-semak,5,5
11545,manipulatif beth ni laki,manipulatif beth ni laki,manipulatif beth ni laki,3,3
44330,@່ ᅠ 😭😭😭😭,@  emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face,@ emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face,0,0
10217,setelah makan malam saya mencoba 🌟𝐀𝐋𝐄𝐗𝐈𝐒𝟏𝟕🌟 peristiwa langka di taman kota,setelah makan malam saya mencoba emoji_glowing_star alexis17 emoji_glowing_star peristiwa langka di taman kota,setelah makan malam saya mencoba emoji_glowing_star alexis17 emoji_glowing_star peristiwa langka di taman kota,1,1
45922,sampek kiamat pun gak akan perna jujur percaya 😂😂🫢,sampek kiamat pun gak akan perna jujur percaya emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_open_eyes_and_hand_over_mouth,sampek kiamat pun gak akan pernah jujur percaya emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_open_eyes_and_hand_over_mouth,0,0
41824,aku jga tasikmalaya,aku jga tasikmalaya,aku juga tasikmalaya,0,0
53372,@bigmo mooo,mention_user mooo,mention_user mau,0,0
43565,jaden anak mama maen masak masakan aja dirumah,jaden anak mama maen masak masakan aja dirumah,jaden anak mama main masak masakan aja di rumah,0,0
52961,gaoaoa deh😭,gaoaoa deh emoji_loudly_crying_face,gaoaoa deh emoji_loudly_crying_face,0,0
25643,taruna no komen🗿,taruna no komen emoji_moai,taruna no komen emoji_moai,0,0
34543,dimunculkan opini oleh pembuat akun ini,dimunculkan opini oleh pembuat akun ini,dimunculkan opini oleh pembuat akun ini,0,0
48146,ngga usah di balas mas nyari folowers aja itu,ngga usah di balas mas nyari folowers aja itu,tidak usah di balas mas nyari pengikut aja itu,0,0
7915,entot ajh udh tu cewe kenya enak banget pejel kek ketupat cirebon,entot ajh udh tu cewe kenya enak banget pejel kek ketupat cirebon,entot aja udah tu cewek kenya enak banget penjel kek ketupat cirebon,5,5
10093,kan dia nya yg minta hujat jadi gpp lah biar jadi motivasi ☺️,kan dia nya yg minta hujat jadi gpp lah biar jadi motivasi emoji_smiling_face,kan dia nya yg minta hujat jadi tidak apa-apa lah biar jadi motivasi emoji_smiling_face,3,3
6088,halah malahan ada kok di vt cowk yang berotot komennya malah cewek pah r him ku anget pah pulang mamah gapake baju aw nonjol aduh gatahan ??,halah malahan ada kok di vt cowk yang berotot komennya malah cewek pah r him ku anget pah pulang mamah gapake baju aw nonjol aduh gatahan ??,halah malahan ada kok di vt cowok yang berotot komennya malah cewek pah r him ku hangat pah pulang mamah tidak pakai baju ah nonjol aduh gak tahan ??,5,5
12297,kenikmatan di bumi kesengsaraan di neraka,kenikmatan di bumi kesengsaraan di neraka,kenikmatan di bumi kesengsaraan di neraka,4,4
44958,dia diundang mmg untuk dipermalukan kan kak🤣🤣,dia diundang mmg untuk dipermalukan kan kak emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing,dia diundang memang untuk dipermalukan kan kak emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing,0,0
12091,kak cobak xxx sama kakak yang itu tapi direkam,kak cobak xxx sama kakak yang itu tapi direkam,kak coba xxx sama kakak yang itu tapi direkam,5,5
22417,pasti besar banget perjuangannya🥵,pasti besar banget perjuangannya emoji_hot_face,pasti besar banget perjuangannya emoji_hot_face,0,0
43556,power kuli emg beda 🗿,power kuli emg beda emoji_moai,kekuatan kuli emang beda emoji_moai,0,0
45796,umur 21 peofesi seorang guru serius nanya guru apa dengan nada greget,umur 21 peofesi seorang guru serius nanya guru apa dengan nada greget,umur dua puluh satu profesi seorang guru serius bertanya guru apa dengan nada greget,0,0
7103,praktekin donk kak,praktekin donk kak,mempraktikkan dong kak,5,5
2196,lah kocak sunda bukan suku jawa 😂😂😂 sekolah depan gerbang😂,lah kocak sunda bukan suku jawa emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy sekolah depan gerbang emoji_face_with_tears_of_joy,lah kocak sunda bukan suku jawa emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy sekolah depan gerbang emoji_face_with_tears_of_joy,4,4
7972,celana ketat🤣🤣,celana ketat emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing,celana ketat emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing,5,5
5709,didiknkeras bukan bekerja keras tapi disik keras nya malak,didiknkeras bukan bekerja keras tapi disik keras nya malak,didik keras bukan bekerja keras tapi disik keras nya malak,4,4
11300,botak botak,botak botak,botak botak,3,3
27624,toleran lah bro,toleran lah bro,toleran lah bro,0,0
14769,kapok mu kapan 😂😂😂😂😂😂😂siap siap diserang warga suroboyo omahmu,kapok mu kapan emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy siap siap diserang warga suroboyo omahmu,kapok mu kapan emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy siap siap diserang warga Surabaya rumahmu,4,4
59978,gw iri🗿,gw iri emoji_moai,saya iri emoji_moai,0,0
14962,"Auto jadi topik pembicaraan, ☯𝐀𝐋EXIS17☯ emang keren.","auto jadi topik pembicaraan, emoji_yin_yang alexis17 emoji_yin_yang emang keren.","auto jadi topik pembicaraan, emoji_yin_yang alexis17 emoji_yin_yang emang keren.",1,1
15933,Bermain di 𝘿 𝐸 𝑊 𝐀 𝐃 𝘖 𝐑 A membuat saya mampu menutup hutang dengan mudah dan cepat. 🍋,bermain di d e w a d o r a membuat saya mampu menutup hutang dengan mudah dan cepat. emoji_lemon,bermain di d e w a d o r a membuat saya mampu menutup hutang dengan mudah dan cepat. emoji_lemon,1,1
68766,jancok arek iku rupane nggilani cok,jancok arek iku rupane nggilani cok,jancok arek itu rupanya nggila cok,0,0
49021,tapi gua laki,tapi gua laki,tapi gua laki,0,0
14127,i d morning friends do you like fucking and me trio❤,i d morning friends do you like fucking and me trio emoji_red_heart,i d pagi teman do you like fucking dan me trio emoji_red_heart,5,5
8233,calon penghuni neraka ni,calon penghuni neraka ni,calon penghuni neraka ni,3,3
6093,berarti cowo pun menganggap semua cowo juga jahat makanya sampe ust felix menyuruh para wanita untuk menganggap semua laki laki itu jahat bagaikan monster demi keamanan mereka🤭 so klo ad cewe yg mau menganggap seperti itu gasalah juga dong karna yg menyuruh pun berawal dari seorang laki laki sndiri juga walaupun cewe tersebut sebenarnya ga menganggap semua cowo jahat,berarti cowo pun menganggap semua cowo juga jahat makanya sampe ust felix menyuruh para wanita untuk menganggap semua laki laki itu jahat bagaikan monster demi keamanan mereka emoji_face_with_hand_over_mouth so klo ad cewe yg mau menganggap seperti itu gasalah juga dong karna yg menyuruh pun berawal dari seorang laki laki sndiri juga walaupun cewe tersebut sebenarnya ga menganggap semua cowo jahat,berarti cowok pun menganggap semua cowok juga jahat makanya sampai ustadz felix menyuruh para wanita untuk menganggap semua laki laki itu jahat bagaikan monster demi keamanan mereka emoji_face_with_hand_over_mouth jadi kalau ad cewek yg mau menganggap seperti itu tidak salah juga dong karena yg menyuruh pun berawal dari seorang laki laki sendiri juga walaupun cewek tersebut sebenarnya ga menganggap semua cowok jahat,4,4
20876,beehh pagi2 udah gini terang dunia 🥰,beehh pagi2 udah gini terang dunia emoji_smiling_face_with_hearts,beh pagi-pagi sudah gini terang dunia emoji_smiling_face_with_hearts,0,0
14406,knpa harus di tmpilkan yg sprti ini musnakan sja org yg sprti ini ya allah,knpa harus di tmpilkan yg sprti ini musnakan sja org yg sprti ini ya allah,kenapa harus di tampilkan yg seperti ini musnahkan saja orang yg seperti ini ya allah,4,4
5713,namanya jga maju dgn agama 🤣🤣,namanya jga maju dgn agama emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing,namanya juga maju dengan agama emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing,4,4
14425,tanggung bgt tlanjang aja skalian kpalang dosaa 😁😁,tanggung bgt tlanjang aja skalian kpalang dosaa emoji_beaming_face_with_smiling_eyes emoji_beaming_face_with_smiling_eyes,tanggung banget telanjang aja sekalian kebal dosanya emoji_beaming_face_with_smiling_eyes emoji_beaming_face_with_smiling_eyes,5,5
27454,indonesia entah nasip nya seperti uni sovyet,indonesia entah nasip nya seperti uni sovyet,indonesia entah nasib nya seperti uni Soviet,0,0
18845,😭tolong cari aku ut kalo ga ada ya plis ga mau setempat sama dirut pertamina dan kawan,emoji_loudly_crying_face tolong cari aku ut kalo ga ada ya plis ga mau setempat sama dirut pertamina dan kawan,emoji_loudly_crying_face tolong cari aku ut kalo ga ada ya please ga mau setempat sama dirut pertamina dan kawan,0,0
1641,jawa hama hanya di mata nya pembenci maszeh yang ngejek mah gatau jawa sebenarnya,jawa hama hanya di mata nya pembenci maszeh yang ngejek mah gatau jawa sebenarnya,jawa hama hanya di mata nya pembenci maszeh yang mengejek mah gak tahu jawa sebenarnya,4,4
15824,𝐌𝐢𝐘𝐚𝟖𝟖🌈 bikin hari jadi semangat gara-gara petirnya!,miya88 emoji_rainbow bikin hari jadi semangat gara-gara petirnya!,miya88 emoji_rainbow bikin hari jadi semangat gara-gara petirnya!,1,1
10487,ada yang ngitung dia ngomong anjing brp kali,ada yang ngitung dia ngomong anjing brp kali,ada yang menghitung dia ngomong anjing berapa kali,3,3
9877,ani ani yess simpanan no 🗿,ani ani yess simpanan no emoji_moai,ani ani ya simpanan no emoji_moai,3,3
5648,pak toleransi? oh ya g pernah sekolah,pak toleransi? oh ya g pernah sekolah,pak toleransi? oh ya g pernah sekolah,3,3
47019,sarua urang ge eleh😂,sarua urang ge eleh emoji_face_with_tears_of_joy,sarua urang ge kalah emoji_face_with_tears_of_joy,0,0
12816,𝔾𝕨 𝕡𝕖𝕣𝕟𝕒𝕙 𝕝𝕚𝕒𝕥 𝕧𝕚𝕕𝕚𝕕𝕚𝕠𝕟𝕪𝕒 𝕔𝕠𝕜,gw pernah liat vididionya cok,saya pernah liat vididionya cok,5,5
56600,this channel goes from what the f indonesia to what the f bro 😂,this channel goes from what the f indonesia to what the f bro emoji_face_with_tears_of_joy,ini saluran goes dari apa the f indonesia to apa the f bro emoji_face_with_tears_of_joy,0,0
43718,@2️⃣3️⃣ @raraww yaampun😭😭😭😭,@ emoji_keycap_2 emoji_keycap_3 mention_user yaampun emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face,@ emoji_keycap_2 emoji_keycap_3 mention_user ya ampun emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face,0,0
12387,kak wanita tak di sewa berapa,kak wanita tak di sewa berapa,kak wanita tak di sewa berapa,5,5
11224,iblis ini,iblis ini,iblis ini,3,3
6917,mbak mau penis mbak saya kasi ni gak usah pake kondom,mbak mau penis mbak saya kasi ni gak usah pake kondom,mbak mau penis mbak saya kasi ni gak usah pake kondom,5,5
62326,enak banget bang 😂👍👍👍,enak banget bang emoji_face_with_tears_of_joy emoji_thumbs_up emoji_thumbs_up emoji_thumbs_up,enak banget bang emoji_face_with_tears_of_joy emoji_thumbs_up emoji_thumbs_up emoji_thumbs_up,0,0
6465,not all men but the people who do this are def men,not all men but the people who do this are def men,not semua men but the orang siapa do ini are def men,4,4
14767,boikot si bimo iki dri smua sgla urusan pkerjaan kmn pun pergi,boikot si bimo iki dri smua sgla urusan pkerjaan kmn pun pergi,boikot si bimo ini dari semua segala urusan pekerjaan ke mana pun pergi,4,4
12604,ini baru kontennn🥰,ini baru kontennn emoji_smiling_face_with_hearts,ini baru konten emoji_smiling_face_with_hearts,5,5
12063,yang tegang jujur,yang tegang jujur,yang tegang jujur,5,5
66690,keren pantai yg ada gunungnya,keren pantai yg ada gunungnya,keren pantai yg ada gunungnya,0,0
11214,laki kok cemen,laki kok cemen,laki kok cemen,3,3
9059,🤍🤍🙏thankssss ⛎🀄️ 𝐀𝐍𝐆𝐊𝐎𝐓𝟕𝟕𝟕 🀄️⛎ 🖤❤️happy asmara❤️🖤 333,emoji_white_heart emoji_white_heart emoji_folded_hands thankssss emoji_ophiuchus emoji_mahjong_red_dragon  angkot777 emoji_mahjong_red_dragon  emoji_ophiuchus emoji_black_heart emoji_red_heart happy asmara emoji_red_heart emoji_black_heart 333,emoji_white_heart emoji_white_heart emoji_folded_hands terima kasih emoji_ophiuchus emoji_mahjong_red_dragon angkot777 emoji_mahjong_red_dragon emoji_ophiuchus emoji_black_heart emoji_red_heart bahagia asmara emoji_red_heart emoji_black_heart 333,1,1
14899,rai koyo konci ae ngenyek suroboyo cok cok,rai koyo konci ae ngenyek suroboyo cok cok,rai koyo konci eh ngenyek Surabaya cok cok,4,4
12561,pemain michat,pemain michat,pemain michat,3,3
38187,gw cowok tapi gw kaga mau komen begituan soalnya itu juga pelecahan,gw cowok tapi gw kaga mau komen begituan soalnya itu juga pelecahan,saya cowok tapi saya tidak mau komen begituan soalnya itu juga pelecehan,0,0
58706,cabut aja udah ngapain kader banyak drama gini bikin kacau indonesia aja,cabut aja udah ngapain kader banyak drama gini bikin kacau indonesia aja,cabut aja sudah ngapain kader banyak drama gini bikin kacau indonesia aja,0,0
3691,udh lh biar apa cobak pake tebak agama,udh lh biar apa cobak pake tebak agama,udah lah biar apa coba pake tebak agama,4,4
21779,hyper si😘,hyper si emoji_face_blowing_a_kiss,hyper si emoji_face_blowing_a_kiss,0,0
54616,@ig faturyinata @zian @yuan s mp—ㅤ🪳 @pinz nocure🇨🇵🐊 ngehina cwe demi uang not my style 🤪,mention_user faturyinata mention_user mention_user s mp-- emoji_cockroach mention_user nocure emoji_clipperton_island emoji_crocodile ngehina cwe demi uang not my style emoji_zany_face,mention_user faturyinata mention_user mention_user s mp-- emoji_cockroach mention_user no cure emoji_clipperton_island emoji_crocodile menghina cewek demi uang not my gaya emoji_zany_face,0,0
14263,toketnya dikasih minyak goreng yaaa biar mngkilat 😂,toketnya dikasih minyak goreng yaaa biar mngkilat emoji_face_with_tears_of_joy,toketnya dikasih minyak goreng ya biar mengkilat emoji_face_with_tears_of_joy,5,5
57668,aduh bisa geli banget gw,aduh bisa geli banget gw,aduh bisa geli banget saya,0,0
11867,pernah liat vidionya tapi gua gak suka liat nya juga gak bikin nafsu beda sama produk jepang walopun d sensor tapi gua liatnya nafsu,pernah liat vidionya tapi gua gak suka liat nya juga gak bikin nafsu beda sama produk jepang walopun d sensor tapi gua liatnya nafsu,pernah liat videonya tapi gua gak suka liat nya juga gak bikin nafsu beda sama produk jepang walaupun d sensor tapi gua lihatnya nafsu,5,5
9191,ngga laku organnya udh aus semua,ngga laku organnya udh aus semua,tidak laku organ udah aus semua,3,3
312,tutor under sama over dong😭,tutor under sama over dong emoji_loudly_crying_face,tutor under sama over dong emoji_loudly_crying_face,1,1
17250,"Wajar kalo banyak yang suka ⭐𝐌𝐀𝗡𝗗𝗔𝘓𝘐𝙆𝘼𝟽𝟽⭐, hasilnya nyata!","wajar kalo banyak yang suka emoji_star mandalika77 emoji_star , hasilnya nyata!","wajar kalo banyak yang suka emoji_star mandalika77 emoji_star , hasilnya nyata!",1,1
50098,gocap mah gacukup sini bang bagi,gocap mah gacukup sini bang bagi,gocap mah gak cukup sini bang bagi,0,0
54157,caption emg udahh seleb sii seleb drmnaa nyaa banyakan jugaa pengikut aingg☺️,caption emg udahh seleb sii seleb drmnaa nyaa banyakan jugaa pengikut aingg emoji_smiling_face,caption emang sudah selebriti si selebriti drama nya banyakan juga pengikut aing emoji_smiling_face,0,0
5179,kapan pak tito lengser dari mendagri? dia punya prestasi apa jadi bertahan terlalu lama di mendagri,kapan pak tito lengser dari mendagri? dia punya prestasi apa jadi bertahan terlalu lama di mendagri,kapan pak tito lengser dari mendagri? dia punya prestasi apa jadi bertahan terlalu lama di mendagri,3,3
48326,lu yg dpke @inidevinaaaa,lu yg dpke mention_user,lu yg dipakai mention_user,0,0
60940,gak boleh begitu,gak boleh begitu,gak boleh begitu,0,0
998,berani taruhan saya ahaha,berani taruhan saya ahaha,berani taruhan saya ahaha,1,0
6410,gk semua cwo kyk gtu tpi kebanyakan gitu,gk semua cwo kyk gtu tpi kebanyakan gitu,tidak semua cowok kayak gitu tapi kebanyakan gitu,4,4
13402,lama² tiktok berubah jadi aplikasi bokep kayak twitter 😒,lama2 tiktok berubah jadi aplikasi bokep kayak twitter emoji_unamused_face,lama-lama tiktok berubah jadi aplikasi bokep kayak Twitter emoji_unamused_face,5,5
13656,sumpah teguh sugiono meresahkan,sumpah teguh sugiono meresahkan,sumpah teguh sugiono meresahkan,3,3
11751,bjir gw liat mis cici li link ytb biru ternyata ada😅,bjir gw liat mis cici li link ytb biru ternyata ada emoji_grinning_face_with_sweat,bejir saya liat mis cici li tautan ytb biru ternyata ada emoji_grinning_face_with_sweat,5,5
13342,ga seru kalo gada adegan ng nya,ga seru kalo gada adegan ng nya,ga seru kalo gada adegan ng nya,5,5
16215,"𝘼X𝐋𝟽𝟳𝟳bikin hidup makin asyik, rezeki datang tanpa henti!","axl 777 bikin hidup makin asyik, rezeki datang tanpa henti!","axl 777 bikin hidup makin asyik, rezeki datang tanpa henti!",1,1
11768,mbak aku sering nontoni kamu 🗿🗿🗿🙏🏻,mbak aku sering nontoni kamu emoji_moai emoji_moai emoji_moai emoji_folded_hands_light_skin_tone,mbak aku sering nontoni kamu emoji_moai emoji_moai emoji_moai emoji_folded_hands_light_skin_tone,5,5
59674,ayat selingkuh coba tampilkan,ayat selingkuh coba tampilkan,ayat selingkuh coba tampilkan,0,0
51250,elu mirip artis thailand yg nmanya pan that☺️,elu mirip artis thailand yg nmanya pan that emoji_smiling_face,elu mirip artis thailand yg namanya pan that emoji_smiling_face,0,0
16657,auto gacor main di 𝑩𝑬𝑵𝑻𝑬𝑵𝑮❽❽ coba rasain keberuntungan tiada batas,auto gacor main di benteng coba rasain keberuntungan tiada batas,auto gacor main di benteng coba rasakan keberuntungan tiada batas,1,1
10172,emng diet harus dihujat dulu,emng diet harus dihujat dulu,emang diet harus dihujat dulu,3,3
22852,komennya anjir😭,komennya anjir emoji_loudly_crying_face,komennya anjir emoji_loudly_crying_face,0,0
2034,palembang kera,palembang kera,palembang kera,4,4
4619,rupanya apa yg di bilang kristina ginting kebalikan nya ya ? rupanya bukan agama yg mayoritas seperti itu,rupanya apa yg di bilang kristina ginting kebalikan nya ya ? rupanya bukan agama yg mayoritas seperti itu,rupanya apa yg di bilang Kristina ginting kebalikan nya ya ? rupanya bukan agama yg mayoritas seperti itu,4,4
4571,gak usah tebak agama udah jelas itu lambangnya bener juga kata cristina ginting😁,gak usah tebak agama udah jelas itu lambangnya bener juga kata cristina ginting emoji_beaming_face_with_smiling_eyes,gak usah tebak agama sudah jelas itu lambangnya benar juga kata Cristina ginting emoji_beaming_face_with_smiling_eyes,4,4
10935,makasih kak sekarang jadi rajin sholat biar ga kaya elu🙏🏻,makasih kak sekarang jadi rajin sholat biar ga kaya elu emoji_folded_hands_light_skin_tone,makasih kak sekarang jadi rajin sholat biar ga kaya elu emoji_folded_hands_light_skin_tone,3,3
16583,Proses secepat kilat?Cuman di ᴍᴀɴᴅᴀʟɪᴋᴀ77.,proses secepat kilat?cuman di mandalika77.,proses secepat kilat?cuman di mandalika77.,1,1
23564,jawir asli,jawir asli,jawir asli,0,0
9223,ayolah guru umur 21 dengan pakaian kek gt pembodohan publik pa gimana ini,ayolah guru umur 21 dengan pakaian kek gt pembodohan publik pa gimana ini,ayolah guru umur dua puluh satu dengan pakaian kek gitu pembodohan publik pa gimana ini,3,3
9259,jav mirid dan guru 🔥😂,jav mirid dan guru emoji_fire emoji_face_with_tears_of_joy,jav murid dan guru emoji_fire emoji_face_with_tears_of_joy,5,5
13488,hhhhhhhhhhh krislam,hhhhhhhhhhh krislam,hhhhhhhhhhh Kristen Islam,4,4
3749,ada contohnya bang amerika eropa afganistan suriah jangan bikin malu islam bang hormati agama lain,ada contohnya bang amerika eropa afganistan suriah jangan bikin malu islam bang hormati agama lain,ada contohnya bang amerika eropa afganistan suriah jangan bikin malu islam bang hormati agama lain,4,4
5800,kalian tdk tahu ini perang opini ingat bhineka tunggal ika bila pecah negara luar gampang mengusai ini akun pemecah belah bahaya,kalian tdk tahu ini perang opini ingat bhineka tunggal ika bila pecah negara luar gampang mengusai ini akun pemecah belah bahaya,kalian tidak tahu ini perang opini ingat bhineka tunggal ika bila pecah negara luar gampang mengusai ini akun pemecah belah bahaya,4,4
